publishedAtDate,title,stars
2024-11-27 18:16:13.949,Colegio Alemán de Guadalajara,2
2024-10-19 20:58:45.186,Colegio Alemán de Guadalajara,5
2024-08-29 23:42:18.066,Colegio Alemán de Guadalajara,5
2024-07-08 16:38:38.753,Colegio Alemán de Guadalajara,5
2024-06-08 23:18:20.157,Colegio Alemán de Guadalajara,5
2024-03-11 17:34:40.011,Colegio Alemán de Guadalajara,4
2024-02-14 15:18:41.376,Colegio Alemán de Guadalajara,4
2024-02-14 02:28:36.053,Colegio Alemán de Guadalajara,5
2023-07-21 00:50:26.258,Colegio Alemán de Guadalajara,5
2023-05-25 23:25:21.334,Colegio Alemán de Guadalajara,1
2023-03-04 21:13:10.212,Colegio Alemán de Guadalajara,5
2023-02-25 03:02:59.049,Colegio Alemán de Guadalajara,5
2022-12-10 22:59:20.147,Colegio Alemán de Guadalajara,5
2022-11-29 20:43:34.962,Colegio Alemán de Guadalajara,5
2022-08-22 16:48:52.781,Colegio Alemán de Guadalajara,5
2022-08-18 15:20:32.845,Colegio Alemán de Guadalajara,5
2022-06-29 14:59:17.322,Colegio Alemán de Guadalajara,5
2022-06-22 23:19:23.476,Colegio Alemán de Guadalajara,5
2022-03-18 22:30:05.049,Colegio Alemán de Guadalajara,1
2021-10-15 07:19:46.846,Colegio Alemán de Guadalajara,5
2016-10-05 21:34:13.017,Instituto de Ciencias,5
2016-08-10 14:05:19.143,Instituto de Ciencias,5
2016-07-12 16:28:33.629,Instituto de Ciencias,4
2016-06-07 13:18:52.244,Instituto de Ciencias,5
2016-06-06 20:10:07.499,Instituto de Ciencias,3
2016-04-15 14:57:19.800,Instituto de Ciencias,5
2016-01-27 12:03:05.771,Instituto de Ciencias,5
2015-11-17 00:35:41.317,Instituto de Ciencias,5
2015-10-23 10:37:40.071,Instituto de Ciencias,5
2015-10-05 04:02:21.011,Instituto de Ciencias,4
2015-08-24 01:47:27.539,Instituto de Ciencias,4
2015-04-23 18:23:02.410,Instituto de Ciencias,4
2015-03-22 05:04:03.517,Instituto de Ciencias,4
2015-02-15 03:55:50.978,Instituto de Ciencias,5
2015-01-06 03:28:23.160,Instituto de Ciencias,5
2014-11-03 14:40:32.192,Instituto de Ciencias,5
2014-10-21 00:58:14.857,Instituto de Ciencias,5
2014-09-23 02:17:49.007,Instituto de Ciencias,5
2014-07-03 02:49:15.188,Instituto de Ciencias,5
2014-05-26 02:30:08.095,Instituto de Ciencias,5
2025-02-25 01:51:17.193,Prepa TEC,5
2024-08-27 20:37:22.979,Prepa TEC,5
2024-01-27 02:47:56.938,Prepa TEC,5
2023-10-09 14:17:53.906,Prepa TEC,5
2023-09-04 13:44:03.871,Prepa TEC,1
2023-07-10 14:13:48.323,Prepa TEC,5
2023-04-17 16:20:26.571,Prepa TEC,5
2023-03-08 17:27:42.671,Prepa TEC,5
2023-01-20 18:05:43.875,Prepa TEC,5
2023-01-09 12:12:01.274,Prepa TEC,5
2022-09-08 11:58:07.281,Prepa TEC,5
2022-04-24 16:33:56.712,Prepa TEC,1
2022-04-04 12:09:25.099,Prepa TEC,5
2022-03-24 22:20:34.060,Prepa TEC,5
2020-02-10 19:46:19.207,Prepa TEC,3
2019-09-25 19:38:45.307,Prepa TEC,1
2019-04-04 06:45:13.615,Prepa TEC,1
2019-02-20 15:42:00.249,Prepa TEC,1
2018-11-16 15:44:42.910,Prepa TEC,1
2018-10-01 19:38:43.556,Prepa TEC,1
2021-04-18 01:05:20.556,Colegio Alemán de Guadalajara,5
2020-03-18 01:49:34.360,Colegio Alemán de Guadalajara,5
2019-11-29 22:43:38.301,Colegio Alemán de Guadalajara,5
2019-11-25 22:07:22.677,Colegio Alemán de Guadalajara,5
2019-11-07 21:28:30.495,Colegio Alemán de Guadalajara,5
2019-10-25 01:25:41.789,Colegio Alemán de Guadalajara,5
2019-06-06 03:13:20.052,Colegio Alemán de Guadalajara,5
2019-04-06 23:14:18.294,Colegio Alemán de Guadalajara,5
2019-03-21 23:15:36.882,Colegio Alemán de Guadalajara,5
2019-02-25 05:39:56.681,Colegio Alemán de Guadalajara,5
2018-07-23 23:08:51.865,Colegio Alemán de Guadalajara,5
2018-06-30 00:20:03.629,Colegio Alemán de Guadalajara,5
2018-05-19 01:41:26.383,Colegio Alemán de Guadalajara,5
2018-02-15 13:33:27.283,Colegio Alemán de Guadalajara,5
2017-10-26 13:25:04.661,Colegio Alemán de Guadalajara,5
2017-10-22 22:05:49.593,Colegio Alemán de Guadalajara,5
2017-09-11 02:18:35.487,Colegio Alemán de Guadalajara,5
2017-09-01 02:47:35.007,Colegio Alemán de Guadalajara,1
2017-05-05 01:24:33.004,Colegio Alemán de Guadalajara,5
2017-03-19 21:25:46.520,Colegio Alemán de Guadalajara,5
2014-03-29 01:27:36.003,Instituto de Ciencias,5
2013-10-22 17:46:53.424,Instituto de Ciencias,5
2013-08-25 21:42:46.624,Instituto de Ciencias,5
2013-07-17 16:55:34.003,Instituto de Ciencias,5
2012-12-24 03:19:51.878,Instituto de Ciencias,5
2017-02-12 14:27:01.158,Colegio Alemán de Guadalajara,3
2017-01-10 16:43:32.390,Colegio Alemán de Guadalajara,4
2016-12-30 21:47:55.480,Colegio Alemán de Guadalajara,5
2016-11-29 16:14:53.945,Colegio Alemán de Guadalajara,5
2016-10-18 17:01:36.574,Colegio Alemán de Guadalajara,5
2016-09-18 20:36:35.158,Colegio Alemán de Guadalajara,5
2016-09-11 14:58:22.996,Colegio Alemán de Guadalajara,5
2016-09-09 21:50:50.521,Colegio Alemán de Guadalajara,5
2016-05-31 20:55:27.567,Colegio Alemán de Guadalajara,5
2016-04-27 19:46:10.174,Colegio Alemán de Guadalajara,5
2015-10-24 02:06:48.065,Colegio Alemán de Guadalajara,3
2014-12-19 20:47:31.090,Colegio Alemán de Guadalajara,5
2014-11-07 04:37:07.978,Colegio Alemán de Guadalajara,5
2014-04-01 21:13:30.576,Colegio Alemán de Guadalajara,5
2018-03-22 06:01:57.016,Prepa TEC,5
2018-03-19 13:47:05.331,Prepa TEC,3
2017-11-18 16:33:18.045,Prepa TEC,5
2017-10-30 22:28:14.813,Prepa TEC,5
2017-09-23 18:03:09.973,Prepa TEC,5
2017-08-08 20:24:12.532,Prepa TEC,5
2017-06-30 06:18:40.231,Prepa TEC,5
2017-03-09 21:41:27.715,Prepa TEC,5
2017-02-19 19:26:57.337,Prepa TEC,3
2016-12-27 23:02:38.316,Prepa TEC,5
2016-12-25 16:09:46.741,Prepa TEC,3
2016-12-05 17:16:25.502,Prepa TEC,5
2016-10-13 02:51:51.181,Prepa TEC,5
2016-04-09 19:20:35.828,Prepa TEC,3
2016-03-30 12:57:48.336,Prepa TEC,4
2016-01-21 18:06:41.107,Prepa TEC,5
2015-10-05 01:47:19.379,Prepa TEC,5
2025-01-25 16:52:36.368,"The American School Foundation of Guadalajara, A.C.",5
2025-01-25 12:32:36.503,"The American School Foundation of Guadalajara, A.C.",5
2024-10-15 11:47:23.849,"The American School Foundation of Guadalajara, A.C.",4
2024-09-18 06:16:40.972,"The American School Foundation of Guadalajara, A.C.",5
2024-08-09 17:25:04.550,"The American School Foundation of Guadalajara, A.C.",5
2024-05-06 22:03:36.820,"The American School Foundation of Guadalajara, A.C.",5
2024-04-20 22:32:45.001,"The American School Foundation of Guadalajara, A.C.",5
2024-02-05 19:20:42.494,"The American School Foundation of Guadalajara, A.C.",5
2023-10-10 14:07:13.002,"The American School Foundation of Guadalajara, A.C.",5
2023-08-14 00:55:58.209,"The American School Foundation of Guadalajara, A.C.",3
2023-05-08 04:42:12.135,"The American School Foundation of Guadalajara, A.C.",1
2023-05-07 15:32:38.748,"The American School Foundation of Guadalajara, A.C.",1
2023-04-27 02:51:40.041,"The American School Foundation of Guadalajara, A.C.",5
2023-03-16 16:21:20.195,"The American School Foundation of Guadalajara, A.C.",5
2023-03-11 20:36:20.827,"The American School Foundation of Guadalajara, A.C.",4
2023-02-27 19:35:20.084,"The American School Foundation of Guadalajara, A.C.",1
2023-02-08 16:37:26.995,"The American School Foundation of Guadalajara, A.C.",1
2023-01-31 19:51:15.666,"The American School Foundation of Guadalajara, A.C.",5
2022-10-22 21:49:15.802,"The American School Foundation of Guadalajara, A.C.",5
2022-10-15 21:30:54.923,"The American School Foundation of Guadalajara, A.C.",5
2022-09-28 23:06:39.960,"The American School Foundation of Guadalajara, A.C.",5
2022-09-09 22:53:26.307,"The American School Foundation of Guadalajara, A.C.",5
2022-08-08 20:50:26.253,"The American School Foundation of Guadalajara, A.C.",5
2022-06-14 06:02:58.439,"The American School Foundation of Guadalajara, A.C.",1
2022-05-30 13:52:38.937,"The American School Foundation of Guadalajara, A.C.",5
2021-10-29 01:32:22.477,"The American School Foundation of Guadalajara, A.C.",5
2021-04-13 15:14:18.321,"The American School Foundation of Guadalajara, A.C.",5
2021-02-21 02:57:55.267,"The American School Foundation of Guadalajara, A.C.",5
2020-10-28 01:23:47.561,"The American School Foundation of Guadalajara, A.C.",1
2020-10-16 06:50:42.821,"The American School Foundation of Guadalajara, A.C.",5
2020-08-28 04:14:43.715,"The American School Foundation of Guadalajara, A.C.",1
2020-08-25 02:49:21.379,"The American School Foundation of Guadalajara, A.C.",5
2020-03-08 17:53:00.043,"The American School Foundation of Guadalajara, A.C.",5
2020-02-26 18:28:25.357,"The American School Foundation of Guadalajara, A.C.",5
2020-01-13 15:49:17.052,"The American School Foundation of Guadalajara, A.C.",5
2020-01-11 00:06:31.814,"The American School Foundation of Guadalajara, A.C.",5
2019-12-04 20:37:57.925,"The American School Foundation of Guadalajara, A.C.",5
2019-12-01 01:40:38.878,"The American School Foundation of Guadalajara, A.C.",5
2019-10-16 01:16:42.683,"The American School Foundation of Guadalajara, A.C.",5
2019-08-30 19:55:30.401,"The American School Foundation of Guadalajara, A.C.",5
2025-03-26 17:15:49.269,ONCE MEXICO COLLEGE,5
2025-03-23 04:35:44.408,ONCE MEXICO COLLEGE,5
2025-03-09 20:23:22.253,ONCE MEXICO COLLEGE,5
2024-12-08 17:17:20.662,ONCE MEXICO COLLEGE,5
2024-10-11 04:01:13.192,ONCE MEXICO COLLEGE,5
2024-10-06 22:37:46.722,ONCE MEXICO COLLEGE,5
2024-08-29 13:33:57.396,ONCE MEXICO COLLEGE,1
2024-08-26 19:55:57.288,ONCE MEXICO COLLEGE,5
2024-08-20 21:27:50.222,ONCE MEXICO COLLEGE,5
2024-08-13 22:55:42.727,ONCE MEXICO COLLEGE,5
2024-07-07 22:04:40.943,ONCE MEXICO COLLEGE,5
2024-04-25 03:09:44.947,ONCE MEXICO COLLEGE,5
2024-04-12 20:32:08.804,ONCE MEXICO COLLEGE,5
2024-03-06 19:20:42.360,ONCE MEXICO COLLEGE,5
2024-02-29 03:51:14.350,ONCE MEXICO COLLEGE,5
2024-01-22 22:10:09.204,ONCE MEXICO COLLEGE,1
2024-01-22 18:01:40.105,ONCE MEXICO COLLEGE,5
2023-11-11 14:11:19.434,ONCE MEXICO COLLEGE,4
2023-10-22 16:53:36.472,ONCE MEXICO COLLEGE,4
2023-09-15 23:18:52.705,ONCE MEXICO COLLEGE,5
2025-02-23 00:19:53.592,Summit School,5
2025-02-22 21:18:51.697,Summit School,5
2025-02-22 17:58:41.241,Summit School,5
2025-02-22 17:21:15.852,Summit School,5
2025-02-22 17:16:56.295,Summit School,5
2025-02-22 17:01:48.458,Summit School,5
2025-02-22 17:01:24.324,Summit School,5
2025-02-22 17:00:29.295,Summit School,5
2025-02-22 16:55:32.391,Summit School,5
2025-02-22 16:55:19.066,Summit School,5
2025-02-22 16:54:40.336,Summit School,5
2025-02-22 16:46:05.509,Summit School,5
2025-02-22 16:43:02.297,Summit School,5
2025-02-22 16:42:43.029,Summit School,5
2025-02-13 03:21:43.087,Summit School,5
2024-07-04 06:17:41.402,Summit School,5
2024-04-22 03:49:48.789,Summit School,4
2024-04-01 06:12:31.919,Summit School,1
2024-02-22 07:23:51.667,Summit School,5
2024-02-11 17:23:41.506,Summit School,5
2023-08-27 21:42:15.613,ONCE MEXICO COLLEGE,5
2023-02-03 04:19:21.295,ONCE MEXICO COLLEGE,3
2022-10-30 14:24:10.431,ONCE MEXICO COLLEGE,5
2022-09-18 14:39:44.918,ONCE MEXICO COLLEGE,1
2022-07-15 23:04:08.115,ONCE MEXICO COLLEGE,1
2022-06-24 00:06:29.736,ONCE MEXICO COLLEGE,5
2022-05-26 18:50:30.152,ONCE MEXICO COLLEGE,5
2022-03-23 16:19:26.319,ONCE MEXICO COLLEGE,5
2021-12-03 22:38:09.663,ONCE MEXICO COLLEGE,5
2021-07-07 23:06:22.060,ONCE MEXICO COLLEGE,4
2020-11-06 16:08:59.368,ONCE MEXICO COLLEGE,5
2019-12-08 22:31:03.775,ONCE MEXICO COLLEGE,5
2018-08-17 06:22:04.419,ONCE MEXICO COLLEGE,5
2018-06-30 15:45:55.326,ONCE MEXICO COLLEGE,1
2018-06-04 23:10:59.122,ONCE MEXICO COLLEGE,1
2018-05-31 22:02:47.455,ONCE MEXICO COLLEGE,1
2018-05-21 21:00:11.209,ONCE MEXICO COLLEGE,1
2017-11-23 04:06:56.597,ONCE MEXICO COLLEGE,5
2017-11-06 21:05:06.623,ONCE MEXICO COLLEGE,5
2017-10-07 21:51:13.846,ONCE MEXICO COLLEGE,5
2017-03-23 18:32:04.653,ONCE MEXICO COLLEGE,1
2017-02-08 19:26:08.293,ONCE MEXICO COLLEGE,5
2016-10-17 23:37:39.363,ONCE MEXICO COLLEGE,4
2016-08-31 21:58:02.498,ONCE MEXICO COLLEGE,5
2016-06-14 01:12:13.330,ONCE MEXICO COLLEGE,5
2015-03-13 08:42:49.351,ONCE MEXICO COLLEGE,4
2019-06-09 23:21:27.096,"The American School Foundation of Guadalajara, A.C.",5
2019-06-07 17:32:57.702,"The American School Foundation of Guadalajara, A.C.",5
2019-03-14 05:40:17.765,"The American School Foundation of Guadalajara, A.C.",5
2019-03-06 04:22:05.889,"The American School Foundation of Guadalajara, A.C.",5
2019-03-04 15:05:24.640,"The American School Foundation of Guadalajara, A.C.",1
2019-02-07 04:12:20.195,"The American School Foundation of Guadalajara, A.C.",5
2018-12-17 19:32:06.278,"The American School Foundation of Guadalajara, A.C.",5
2018-06-04 17:58:42.165,"The American School Foundation of Guadalajara, A.C.",5
2018-04-20 12:11:51.309,"The American School Foundation of Guadalajara, A.C.",5
2018-03-11 15:05:04.716,"The American School Foundation of Guadalajara, A.C.",5
2018-03-03 19:27:42.350,"The American School Foundation of Guadalajara, A.C.",5
2018-02-19 16:45:21.891,"The American School Foundation of Guadalajara, A.C.",1
2018-02-17 02:36:31.739,"The American School Foundation of Guadalajara, A.C.",5
2018-01-19 22:09:13.393,"The American School Foundation of Guadalajara, A.C.",5
2018-01-10 02:06:42.070,"The American School Foundation of Guadalajara, A.C.",5
2018-01-05 16:08:07.742,"The American School Foundation of Guadalajara, A.C.",1
2017-12-19 20:52:44.216,"The American School Foundation of Guadalajara, A.C.",4
2017-11-14 19:49:59.163,"The American School Foundation of Guadalajara, A.C.",4
2017-10-08 02:42:06.244,"The American School Foundation of Guadalajara, A.C.",5
2017-06-17 01:56:50.467,"The American School Foundation of Guadalajara, A.C.",5
2024-02-10 05:30:26.189,Summit School,5
2023-12-30 02:02:47.733,Summit School,1
2023-12-03 17:59:19.649,Summit School,5
2023-11-25 13:07:50.257,Summit School,4
2023-10-08 00:28:49.358,Summit School,5
2023-10-04 03:19:34.675,Summit School,1
2023-09-10 17:53:18.198,Summit School,5
2023-06-20 03:09:40.227,Summit School,5
2023-03-29 19:29:56.402,Summit School,5
